Day,Place,Muslim,run
11,Kyaukpyu,154,6
11,Kyauktaw,14990,6
11,Maungdaw,3003,6
11,Myebon,9306,6
11,Paletwa,8887,6
11,Pauktaw,6262,6
11,Ramree,17677,6
11,Rathedaung,17566,6
11,Sittwe,11259,6
12,Buthidaung,8750,6
12,Cox's Bazar,92446,6
12,Kyaukpyu,143,6
12,Kyauktaw,15854,6
12,Maungdaw,3210,6
12,Myebon,9669,6
12,Paletwa,9566,6
12,Pauktaw,6734,6
12,Ramree,20238,6
12,Rathedaung,18709,6
12,Sittwe,11830,6
13,Buthidaung,9548,6
13,Cox's Bazar,94480,6
13,Kyaukpyu,139,6
13,Kyauktaw,16750,6
13,Maungdaw,3506,6
13,Myebon,10022,6
13,Paletwa,10535,6
13,Pauktaw,7247,6
13,Ramree,22754,6
13,Rathedaung,20293,6
13,Sittwe,12399,6
14,Buthidaung,10087,6
14,Cox's Bazar,96544,6
14,Kyaukpyu,130,6
14,Kyauktaw,17515,6
14,Maungdaw,3878,6
14,Myebon,10436,6
14,Paletwa,11677,6
14,Pauktaw,7933,6
14,Ramree,25391,6
14,Rathedaung,22137,6
14,Sittwe,13223,6
0,Buthidaung,1114,7
0,Cox's Bazar,70125,7
0,Kyaukpyu,260,7
0,Kyauktaw,1005,7
0,Maungdaw,1883,7
0,Myebon,3881,7
0,Paletwa,494,7
0,Pauktaw,2363,7
0,Ramree,179,7
0,Rathedaung,2581,7
0,Sittwe,13588,7
1,Buthidaung,2453,7
1,Cox's Bazar,71918,7
1,Kyaukpyu,242,7
1,Kyauktaw,2689,7
1,Maungdaw,1543,7
1,Myebon,6417,7
1,Paletwa,1584,7
